# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Web Edition
# File: C:\altera\projects\hps\de1_soc_GHRD\DE1_SoC.csv
# Generated on: Sun Feb 01 21:39:02 2015

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage
HPS_DDR3_DQ[22],Bidir,,,,PIN_N27,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[21],Bidir,,,,PIN_P27,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[20],Bidir,,,,PIN_P26,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[19],Bidir,,,,PIN_N28,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[18],Bidir,,,,PIN_N29,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[17],Bidir,,,,PIN_T26,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[16],Bidir,,,,PIN_U26,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[15],Bidir,,,,PIN_M30,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[14],Bidir,,,,PIN_L28,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[13],Bidir,,,,PIN_M27,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[12],Bidir,,,,PIN_M26,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[11],Bidir,,,,PIN_K27,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[10],Bidir,,,,PIN_K29,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[9],Bidir,,,,PIN_L26,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[8],Bidir,,,,PIN_K26,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[7],Bidir,,,,PIN_J29,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[6],Bidir,,,,PIN_J30,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[5],Bidir,,,,PIN_L24,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[4],Bidir,,,,PIN_L25,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[3],Bidir,,,,PIN_G28,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[2],Bidir,,,,PIN_H30,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[1],Bidir,,,,PIN_K22,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[0],Bidir,,,,PIN_K23,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQS_N[3],Bidir,,,,PIN_R21,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[3](n),,,,,,,,
HPS_DDR3_DQS_N[3](n),Bidir,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[3],,,,,,,,
HPS_DDR3_DQS_N[2],Bidir,,,,PIN_R18,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[2](n),,,,,,,,
HPS_DDR3_DQS_N[2](n),Bidir,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[2],,,,,,,,
HPS_DDR3_DQS_N[1],Bidir,,,,PIN_N24,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[1](n),,,,,,,,
HPS_DDR3_DQS_N[1](n),Bidir,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[1],,,,,,,,
HPS_DDR3_DQS_N[0],Bidir,,,,PIN_M19,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[0](n),,,,,,,,
HPS_DDR3_DQS_N[0](n),Bidir,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[0],,,,,,,,
HPS_DDR3_DQS_P[3],Bidir,,,,PIN_R22,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[3](n),,,,,,,,
HPS_DDR3_DQS_P[3](n),Bidir,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[3],,,,,,,,
HPS_DDR3_DQS_P[2],Bidir,,,,PIN_R19,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[2](n),,,,,,,,
HPS_DDR3_DQS_P[2](n),Bidir,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[2],,,,,,,,
HPS_DDR3_DQS_P[1],Bidir,,,,PIN_N25,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[1](n),,,,,,,,
HPS_DDR3_DQS_P[1](n),Bidir,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[1],,,,,,,,
HPS_DDR3_DQS_P[0],Bidir,,,,PIN_N18,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[0](n),,,,,,,,
HPS_DDR3_DQS_P[0](n),Bidir,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[0],,,,,,,,
HPS_DDR3_ODT,Output,,,,PIN_H28,SSTL-15 Class I,,Maximum Current,,,,,,,,,,
HPS_DDR3_RAS_N,Output,,,,PIN_D30,SSTL-15 Class I,,Maximum Current,,,,,,,,,,
HPS_DDR3_RESET_N,Output,,,,PIN_P30,SSTL-15 Class I,,Maximum Current,,,,,,,,,,
HPS_DDR3_RZQ,Input,,,,PIN_D27,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_WE_N,Output,,,,PIN_C28,SSTL-15 Class I,,Maximum Current,,,,,,,,,,
HPS_ENET_GTX_CLK,Output,,,,PIN_H19,3.3-V LVTTL,,,,,,,,,,,,
HPS_ENET_INT_N,Bidir,,,,PIN_C19,3.3-V LVTTL,,,,,,,,,,,,
HPS_ENET_MDC,Output,,,,PIN_B21,3.3-V LVTTL,,,,,,,,,,,,
HPS_ENET_MDIO,Bidir,,,,PIN_E21,3.3-V LVTTL,,,,,,,,,,,,
HPS_ENET_RX_CLK,Input,,,,PIN_G20,3.3-V LVTTL,,,,,,,,,,,,
HPS_ENET_RX_DATA[3],Input,,,,PIN_D21,3.3-V LVTTL,,,,,,,,,,,,
HPS_ENET_RX_DATA[2],Input,,,,PIN_B18,3.3-V LVTTL,,,,,,,,,,,,
HPS_ENET_RX_DATA[1],Input,,,,PIN_B20,3.3-V LVTTL,,,,,,,,,,,,
HPS_ENET_RX_DATA[0],Input,,,,PIN_A21,3.3-V LVTTL,,,,,,,,,,,,
HPS_ENET_RX_DV,Input,,,,PIN_K17,3.3-V LVTTL,,,,,,,,,,,,
HPS_ENET_TX_DATA[3],Output,,,,PIN_F19,3.3-V LVTTL,,,,,,,,,,,,
HPS_ENET_TX_DATA[2],Output,,,,PIN_F21,3.3-V LVTTL,,,,,,,,,,,,
HPS_ENET_TX_DATA[1],Output,,,,PIN_J19,3.3-V LVTTL,,,,,,,,,,,,
HPS_ENET_TX_DATA[0],Output,,,,PIN_F20,3.3-V LVTTL,,,,,,,,,,,,
HPS_ENET_TX_EN,Output,,,,PIN_A20,3.3-V LVTTL,,,,,,,,,,,,
HPS_FLASH_DATA[3],Bidir,,,,PIN_E19,3.3-V LVTTL,,,,,,,,,,,,
HPS_FLASH_DATA[2],Bidir,,,,PIN_A19,3.3-V LVTTL,,,,,,,,,,,,
HPS_FLASH_DATA[1],Bidir,,,,PIN_H18,3.3-V LVTTL,,,,,,,,,,,,
HPS_FLASH_DATA[0],Bidir,,,,PIN_C20,3.3-V LVTTL,,,,,,,,,,,,
HPS_FLASH_DCLK,Output,,,,PIN_D19,3.3-V LVTTL,,,,,,,,,,,,
HPS_FLASH_NCSO,Output,,,,PIN_A18,3.3-V LVTTL,,,,,,,,,,,,
HPS_GPIO[1],Bidir,,,,PIN_C18,3.3-V LVTTL,,,,,,,,,,,,
HPS_GPIO[0],Bidir,,,,PIN_H17,3.3-V LVTTL,,,,,,,,,,,,
HPS_GSENSOR_INT,Bidir,,,,PIN_B22,3.3-V LVTTL,,,,,,,,,,,,
HPS_I2C1_SCLK,Bidir,,,,PIN_E23,3.3-V LVTTL,,,,,,,,,,,,
HPS_I2C1_SDAT,Bidir,,,,PIN_C24,3.3-V LVTTL,,,,,,,,,,,,
HPS_I2C2_SCLK,Bidir,,,,PIN_H23,3.3-V LVTTL,,,,,,,,,,,,
HPS_I2C2_SDAT,Bidir,,,,PIN_A25,3.3-V LVTTL,,,,,,,,,,,,
HPS_I2C_CONTROL,Bidir,,,,PIN_B26,3.3-V LVTTL,,,,,,,,,,,,
HPS_KEY,Bidir,,,,PIN_G21,3.3-V LVTTL,,,,,,,,,,,,
HPS_LED,Bidir,,,,PIN_A24,3.3-V LVTTL,,,,,,,,,,,,
HPS_SD_CLK,Output,,,,PIN_A16,3.3-V LVTTL,,,,,,,,,,,,
HPS_SD_CMD,Bidir,,,,PIN_F18,3.3-V LVTTL,,,,,,,,,,,,
HPS_SD_DATA[3],Bidir,,,,PIN_B16,3.3-V LVTTL,,,,,,,,,,,,
HPS_SD_DATA[2],Bidir,,,,PIN_D17,3.3-V LVTTL,,,,,,,,,,,,
HPS_SD_DATA[1],Bidir,,,,PIN_C17,3.3-V LVTTL,,,,,,,,,,,,
HPS_SD_DATA[0],Bidir,,,,PIN_G18,3.3-V LVTTL,,,,,,,,,,,,
HPS_SPIM_CLK,Output,,,,PIN_C23,3.3-V LVTTL,,,,,,,,,,,,
HPS_SPIM_MISO,Input,,,,PIN_E24,3.3-V LVTTL,,,,,,,,,,,,
HPS_SPIM_MOSI,Output,,,,PIN_D22,3.3-V LVTTL,,,,,,,,,,,,
HPS_SPIM_SS,Bidir,,,,PIN_D24,3.3-V LVTTL,,,,,,,,,,,,
HPS_UART_RX,Input,,,,PIN_B25,3.3-V LVTTL,,,,,,,,,,,,
HPS_UART_TX,Output,,,,PIN_C25,3.3-V LVTTL,,,,,,,,,,,,
HPS_USB_CLKOUT,Input,,,,PIN_N16,3.3-V LVTTL,,,,,,,,,,,,
HPS_USB_DATA[7],Bidir,,,,PIN_M17,3.3-V LVTTL,,,,,,,,,,,,
HPS_USB_DATA[6],Bidir,,,,PIN_D15,3.3-V LVTTL,,,,,,,,,,,,
HPS_USB_DATA[5],Bidir,,,,PIN_C14,3.3-V LVTTL,,,,,,,,,,,,
HPS_USB_DATA[4],Bidir,,,,PIN_A15,3.3-V LVTTL,,,,,,,,,,,,
HPS_USB_DATA[3],Bidir,,,,PIN_D14,3.3-V LVTTL,,,,,,,,,,,,
HPS_USB_DATA[2],Bidir,,,,PIN_D16,3.3-V LVTTL,,,,,,,,,,,,
HPS_USB_DATA[1],Bidir,,,,PIN_G16,3.3-V LVTTL,,,,,,,,,,,,
HPS_USB_DATA[0],Bidir,,,,PIN_E16,3.3-V LVTTL,,,,,,,,,,,,
HPS_USB_DIR,Input,,,,PIN_E14,3.3-V LVTTL,,,,,,,,,,,,
HPS_USB_NXT,Input,,,,PIN_A14,3.3-V LVTTL,,,,,,,,,,,,
HPS_USB_STP,Output,,,,PIN_C15,3.3-V LVTTL,,,,,,,,,,,,
IRDA_RXD,Input,PIN_AA30,5B,B5B_N0,PIN_AA30,3.3-V LVTTL,,,,,,,,,,,,
IRDA_TXD,Output,PIN_AB30,5B,B5B_N0,PIN_AB30,3.3-V LVTTL,,,,,,,,,,,,
KEY[3],Input,PIN_Y16,3B,B3B_N0,PIN_Y16,3.3-V LVTTL,,,,,,,,,,,,
KEY[2],Input,PIN_W15,3B,B3B_N0,PIN_W15,3.3-V LVTTL,,,,,,,,,,,,
KEY[1],Input,PIN_AA15,3B,B3B_N0,PIN_AA15,3.3-V LVTTL,,,,,,,,,,,,
KEY[0],Input,PIN_AA14,3B,B3B_N0,PIN_AA14,3.3-V LVTTL,,,,,,,,,,,,
LEDR[9],Output,PIN_Y21,5A,B5A_N0,PIN_Y21,3.3-V LVTTL,,,,,,,,,,,,
LEDR[8],Output,PIN_W21,5A,B5A_N0,PIN_W21,3.3-V LVTTL,,,,,,,,,,,,
LEDR[7],Output,PIN_W20,5A,B5A_N0,PIN_W20,3.3-V LVTTL,,,,,,,,,,,,
LEDR[6],Output,PIN_Y19,4A,B4A_N0,PIN_Y19,3.3-V LVTTL,,,,,,,,,,,,
LEDR[5],Output,PIN_W19,4A,B4A_N0,PIN_W19,3.3-V LVTTL,,,,,,,,,,,,
LEDR[4],Output,PIN_W17,4A,B4A_N0,PIN_W17,3.3-V LVTTL,,,,,,,,,,,,
LEDR[3],Output,PIN_V18,4A,B4A_N0,PIN_V18,3.3-V LVTTL,,,,,,,,,,,,
LEDR[2],Output,PIN_V17,4A,B4A_N0,PIN_V17,3.3-V LVTTL,,,,,,,,,,,,
LEDR[1],Output,PIN_W16,4A,B4A_N0,PIN_W16,3.3-V LVTTL,,,,,,,,,,,,
LEDR[0],Output,PIN_V16,4A,B4A_N0,PIN_V16,3.3-V LVTTL,,,,,,,,,,,,
PS2_CLK,Bidir,PIN_AD7,3A,B3A_N0,PIN_AD7,3.3-V LVTTL,,,,,,,,,,,,
PS2_CLK2,Bidir,PIN_AD9,3A,B3A_N0,PIN_AD9,3.3-V LVTTL,,,,,,,,,,,,
PS2_DAT,Bidir,PIN_AE7,3A,B3A_N0,PIN_AE7,3.3-V LVTTL,,,,,,,,,,,,
PS2_DAT2,Bidir,PIN_AE9,3A,B3A_N0,PIN_AE9,3.3-V LVTTL,,,,,,,,,,,,
SW[9],Input,PIN_AE12,3A,B3A_N0,PIN_AE12,3.3-V LVTTL,,,,,,,,,,,,
SW[8],Input,PIN_AD10,3A,B3A_N0,PIN_AD10,3.3-V LVTTL,,,,,,,,,,,,
SW[7],Input,PIN_AC9,3A,B3A_N0,PIN_AC9,3.3-V LVTTL,,,,,,,,,,,,
SW[6],Input,PIN_AE11,3A,B3A_N0,PIN_AE11,3.3-V LVTTL,,,,,,,,,,,,
SW[5],Input,PIN_AD12,3A,B3A_N0,PIN_AD12,3.3-V LVTTL,,,,,,,,,,,,
SW[4],Input,PIN_AD11,3A,B3A_N0,PIN_AD11,3.3-V LVTTL,,,,,,,,,,,,
SW[3],Input,PIN_AF10,3A,B3A_N0,PIN_AF10,3.3-V LVTTL,,,,,,,,,,,,
SW[2],Input,PIN_AF9,3A,B3A_N0,PIN_AF9,3.3-V LVTTL,,,,,,,,,,,,
SW[1],Input,PIN_AC12,3A,B3A_N0,PIN_AC12,3.3-V LVTTL,,,,,,,,,,,,
SW[0],Input,PIN_AB12,3A,B3A_N0,PIN_AB12,3.3-V LVTTL,,,,,,,,,,,,
TD_CLK27,Bidir,PIN_H15,8A,B8A_N0,PIN_H15,3.3-V LVTTL,,,,,,,,,,,,
TD_DATA[7],Output,PIN_B3,8A,B8A_N0,PIN_B3,3.3-V LVTTL,,,,,,,,,,,,
TD_DATA[6],Output,PIN_C2,8A,B8A_N0,PIN_C2,3.3-V LVTTL,,,,,,,,,,,,
TD_DATA[5],Output,PIN_E1,8A,B8A_N0,PIN_E1,3.3-V LVTTL,,,,,,,,,,,,
TD_DATA[4],Output,PIN_D1,8A,B8A_N0,PIN_D1,3.3-V LVTTL,,,,,,,,,,,,
TD_DATA[3],Output,PIN_B2,8A,B8A_N0,PIN_B2,3.3-V LVTTL,,,,,,,,,,,,
TD_DATA[2],Output,PIN_E2,8A,B8A_N0,PIN_E2,3.3-V LVTTL,,,,,,,,,,,,
TD_DATA[1],Output,PIN_B1,8A,B8A_N0,PIN_B1,3.3-V LVTTL,,,,,,,,,,,,
TD_DATA[0],Output,PIN_D2,8A,B8A_N0,PIN_D2,3.3-V LVTTL,,,,,,,,,,,,
TD_HS,Output,PIN_A5,8A,B8A_N0,PIN_A5,3.3-V LVTTL,,,,,,,,,,,,
TD_RESET_N,Output,PIN_F6,8A,B8A_N0,PIN_F6,3.3-V LVTTL,,,,,,,,,,,,
TD_VS,Output,PIN_A3,8A,B8A_N0,PIN_A3,3.3-V LVTTL,,,,,,,,,,,,
VGA_B[7],Output,PIN_F15,8A,B8A_N0,PIN_F15,3.3-V LVTTL,,,,,,,,,,,,
VGA_B[6],Output,PIN_F14,8A,B8A_N0,PIN_F14,3.3-V LVTTL,,,,,,,,,,,,
VGA_B[5],Output,PIN_G15,8A,B8A_N0,PIN_G15,3.3-V LVTTL,,,,,,,,,,,,
VGA_B[4],Output,PIN_G10,8A,B8A_N0,PIN_G10,3.3-V LVTTL,,,,,,,,,,,,
VGA_B[3],Output,PIN_H14,8A,B8A_N0,PIN_H14,3.3-V LVTTL,,,,,,,,,,,,
VGA_B[2],Output,PIN_J14,8A,B8A_N0,PIN_J14,3.3-V LVTTL,,,,,,,,,,,,
VGA_B[1],Output,PIN_H13,8A,B8A_N0,PIN_H13,3.3-V LVTTL,,,,,,,,,,,,
VGA_B[0],Output,PIN_G13,8A,B8A_N0,PIN_G13,3.3-V LVTTL,,,,,,,,,,,,
VGA_BLANK_N,Output,PIN_F10,8A,B8A_N0,PIN_F10,3.3-V LVTTL,,,,,,,,,,,,
VGA_CLK,Output,PIN_A11,8A,B8A_N0,PIN_A11,3.3-V LVTTL,,,,,,,,,,,,
VGA_G[7],Output,PIN_F13,8A,B8A_N0,PIN_F13,3.3-V LVTTL,,,,,,,,,,,,
VGA_G[6],Output,PIN_G12,8A,B8A_N0,PIN_G12,3.3-V LVTTL,,,,,,,,,,,,
VGA_G[5],Output,PIN_H12,8A,B8A_N0,PIN_H12,3.3-V LVTTL,,,,,,,,,,,,
VGA_G[4],Output,PIN_E11,8A,B8A_N0,PIN_E11,3.3-V LVTTL,,,,,,,,,,,,
VGA_G[3],Output,PIN_F11,8A,B8A_N0,PIN_F11,3.3-V LVTTL,,,,,,,,,,,,
VGA_G[2],Output,PIN_G11,8A,B8A_N0,PIN_G11,3.3-V LVTTL,,,,,,,,,,,,
VGA_G[1],Output,PIN_J10,8A,B8A_N0,PIN_J10,3.3-V LVTTL,,,,,,,,,,,,
VGA_G[0],Output,PIN_J9,8A,B8A_N0,PIN_J9,3.3-V LVTTL,,,,,,,,,,,,
VGA_HS,Output,PIN_B11,8A,B8A_N0,PIN_B11,3.3-V LVTTL,,,,,,,,,,,,
VGA_R[7],Output,PIN_A13,8A,B8A_N0,PIN_A13,3.3-V LVTTL,,,,,,,,,,,,
VGA_R[6],Output,PIN_B13,8A,B8A_N0,PIN_B13,3.3-V LVTTL,,,,,,,,,,,,
VGA_R[5],Output,PIN_C13,8A,B8A_N0,PIN_C13,3.3-V LVTTL,,,,,,,,,,,,
VGA_R[4],Output,PIN_B12,8A,B8A_N0,PIN_B12,3.3-V LVTTL,,,,,,,,,,,,
VGA_R[3],Output,PIN_C12,8A,B8A_N0,PIN_C12,3.3-V LVTTL,,,,,,,,,,,,
VGA_R[2],Output,PIN_D12,8A,B8A_N0,PIN_D12,3.3-V LVTTL,,,,,,,,,,,,
VGA_R[1],Output,PIN_E13,8A,B8A_N0,PIN_E13,3.3-V LVTTL,,,,,,,,,,,,
VGA_R[0],Output,PIN_E12,8A,B8A_N0,PIN_E12,3.3-V LVTTL,,,,,,,,,,,,
VGA_SYNC_N,Output,PIN_C10,8A,B8A_N0,PIN_C10,3.3-V LVTTL,,,,,,,,,,,,
VGA_VS,Output,PIN_D11,8A,B8A_N0,PIN_D11,3.3-V LVTTL,,,,,,,,,,,,
altera_reserved_tck,Input,,,,PIN_AC5,,,,,,,,,,,,,
altera_reserved_tdi,Input,,,,PIN_U8,,,,,,,,,,,,,
altera_reserved_tdo,Output,,,,PIN_AB9,,,,,,,,,,,,,
altera_reserved_tms,Input,,,,PIN_V9,,,,,,,,,,,,,
